calendar_dt,nfp_actual,nfp_forecast,nfp_previous
"Feb 07, 2025",143000,169000,307000
"Jan 10, 2025",256000,164000,212000
"Dec 06, 2024",227000,202000,36000
"Nov 01, 2024",12000,106000,223000
"Oct 04, 2024",254000,147000,159000
"Sep 06, 2024",142000,164000,89000
"Aug 02, 2024",114000,176000,179000
"Jul 05, 2024",206000,191000,218000
"Jun 07, 2024",272000,182000,165000
"May 03, 2024",175000,238000,315000
"Apr 05, 2024",303000,212000,270000
"Mar 08, 2024",275000,198000,229000
"Feb 02, 2024",353000,187000,333000
"Jan 05, 2024",216000,170000,173000
"Dec 08, 2023",199000,180000,150000
"Nov 03, 2023",150000,180000,297000
"Oct 06, 2023",336000,170000,227000
"Sep 01, 2023",187000,170000,157000
"Aug 04, 2023",187000,200000,185000
"Jul 07, 2023",209000,225000,306000
"Jun 02, 2023",339000,180000,294000
"May 05, 2023",253000,180000,165000
"Apr 07, 2023",236000,239000,326000
"Mar 10, 2023",311000,205000,504000
"Feb 03, 2023",517000,185000,260000
"Jan 06, 2023",223000,200000,256000
"Dec 02, 2022",263000,200000,284000
"Nov 04, 2022",261000,200000,315000
"Oct 07, 2022",263000,250000,315000
"Sep 02, 2022",315000,300000,526000
"Aug 05, 2022",528000,250000,398000
"Jul 08, 2022",372000,268000,384000
"Jun 03, 2022",390000,325000,436000
"May 06, 2022",428000,391000,428000
"Apr 01, 2022",431000,490000,750000
"Mar 04, 2022",678000,400000,481000
"Feb 04, 2022",467000,150000,510000
"Jan 07, 2022",199000,400000,249000
"Dec 03, 2021",210000,550000,546000
"Nov 05, 2021",531000,450000,312000
"Oct 08, 2021",194000,500000,366000
"Sep 03, 2021",235000,750000,1053000
"Aug 06, 2021",943000,870000,938000
"Jul 02, 2021",850000,700000,583000
"Jun 04, 2021",559000,650000,278000
"May 07, 2021",266000,978000,770000
"Apr 02, 2021",916000,647000,468000
"Mar 05, 2021",379000,182000,166000
"Feb 05, 2021",49000,50000,-227000
"Jan 08, 2021",-140000,71000,336000
"Dec 04, 2020",245000,469000,610000
"Nov 06, 2020",638000,600000,672000
"Oct 02, 2020",661000,850000,1489000
"Sep 04, 2020",1371000,1400000,1734000
"Aug 07, 2020",1763000,1600000,4791000
"Jul 02, 2020",4800000,3000000,2699000
"Jun 05, 2020",2509000,-8000000,-20687000
"May 08, 2020",-20537000,-22000000,-870000
"Apr 03, 2020",-701000,-100000,275000
"Mar 06, 2020",273000,175000,273000
"Feb 07, 2020",225000,160000,147000
"Jan 10, 2020",145000,164000,256000
"Dec 06, 2019",266000,186000,156000
"Nov 01, 2019",128000,89000,180000
"Oct 04, 2019",136000,140000,168000
"Sep 06, 2019",130000,160000,159000
"Aug 02, 2019",164000,164000,193000
"Jul 05, 2019",224000,160000,72000
"Jun 07, 2019",75000,185000,224000
"May 03, 2019",263000,181000,189000
"Apr 05, 2019",196000,175000,33000
"Mar 08, 2019",20000,181000,311000
"Feb 01, 2019",304000,165000,222000
"Jan 04, 2019",312000,178000,176000
"Dec 07, 2018",155000,200000,237000
"Nov 02, 2018",250000,193000,118000
"Oct 05, 2018",134000,185000,270000
"Sep 07, 2018",201000,191000,147000
"Aug 03, 2018",157000,193000,248000
"Jul 06, 2018",213000,200000,244000
"Jun 01, 2018",223000,189000,159000
"May 04, 2018",164000,189000,135000
"Apr 06, 2018",103000,193000,326000
"Mar 09, 2018",313000,200000,239000
"Feb 02, 2018",200000,184000,160000
"Jan 05, 2018",148000,190000,252000
"Dec 08, 2017",228000,200000,244000
"Nov 03, 2017",261000,310000,18000
"Oct 06, 2017",-33000,90000,169000
"Sep 01, 2017",156000,180000,189000
"Aug 04, 2017",209000,183000,231000
"Jul 07, 2017",222000,179000,152000
"Jun 02, 2017",138000,185000,174000
"May 05, 2017",211000,185000,79000
"Apr 07, 2017",98000,180000,219000
"Mar 10, 2017",235000,200000,238000
"Feb 03, 2017",227000,175000,157000
"Jan 06, 2017",156000,178000,204000
"Dec 02, 2016",178000,175000,142000
"Nov 04, 2016",161000,175000,191000
"Oct 07, 2016",156000,175000,167000
"Sep 02, 2016",151000,180000,275000
"Aug 05, 2016",255000,180000,292000
"Jul 08, 2016",287000,175000,11000
"Jun 03, 2016",38000,164000,123000
"May 06, 2016",160000,202000,208000
"Apr 01, 2016",215000,205000,245000
"Mar 04, 2016",242000,190000,172000
"Feb 05, 2016",151000,190000,262000
"Jan 08, 2016",292000,200000,252000
"Dec 04, 2015",211000,200000,298000
"Nov 06, 2015",271000,180000,137000
"Oct 02, 2015",142000,203000,136000
"Sep 04, 2015",173000,220000,245000
"Aug 07, 2015",215000,223000,231000
"Jul 02, 2015",223000,230000,254000
"Jun 05, 2015",280000,225000,221000
"May 08, 2015",223000,224000,85000
"Apr 03, 2015",126000,245000,264000
"Mar 06, 2015",295000,240000,239000
"Feb 06, 2015",257000,234000,329000
"Jan 09, 2015",252000,240000,353000
